id;notes;timestamp;urgency_of_medical_treatment;need_for_legal_assistance
1;Tuna integrated deposit;2022-03-19T07:36:06;RED;97725
2;SAS Missouri deposit;2022-03-19T16:14:25;YELLOW;78029
3;generating;2022-03-19T00:40:20;RED;74409
4;Shoes;2022-03-19T07:08:37;YELLOW;43003
5;24/7 data-warehouse;2022-03-19T06:05:49;RED;83881
6;Chicken Paradigm;2022-03-18T20:22:55;WHITE;17832
7;connecting;2022-03-18T23:54:55;BLACK;83889
8;Bedfordshire hack portals;2022-03-19T16:06:59;BLACK;74734
9;Louisiana quantify;2022-03-19T11:28:14;RED;33525
10;discrete;2022-03-18T19:52:15;WHITE;30650
